Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence,NPV,IRR,payback_months
Mahihkan Battery 02-21,ABWI103010406604W400,4,2025-06-01,13,False,harmonic,528.4023064525584,0.1086867466469382,1.0,0.6105298140724454,False,,4441.048981259867,1,1247264.0183959298,177215506722.99448,1.0
Mahihkan Battery 02-21,ABWI103010806604W400,2,2025-07-01,7,False,harmonic,405.3590939339315,0.5139024962996904,1.0,0.696078785054701,False,,1377.9919539608493,1,259637.09474094704,14070.48069265884,1.0
Mahihkan Battery 02-21,ABWI103011506504W400,4,2024-06-01,11,False,exponential,262.7214666824533,0.1324901303910873,0.0,0.6976445394827444,False,,1624.2341140339297,1,334768.416209314,235.98573392563162,2.0
Mahihkan Battery 02-21,ABWI103011606604W400,3,2024-05-01,26,False,harmonic,407.6099739228423,0.2480543852482005,1.0,0.921330997484572,False,,3484.494797714861,1,908372.2453576666,112333.42995439522,1.0
Mahihkan Battery 02-21,ABWI103012106504W400,2,2023-12-01,18,False,harmonic,267.380622497155,0.136397609485912,1.0,0.716331618693514,False,,2528.29291963293,1,613876.8788973155,358.73897351912336,2.0
Mahihkan Battery 02-21,ABWI103012106504W400,3,2025-06-01,13,False,harmonic,306.23577455384805,0.0591321957989786,1.0,0.702674255594393,False,,3020.831152442069,2,781748.945617237,3382.4139948851966,1.0
Mahihkan Battery 02-21,ABWI103012206504W400,2,2025-08-01,11,False,harmonic,567.3887701655551,0.1225111405177824,1.0,0.8026201339674246,False,,4119.970657726267,1,1151319.905383596,,1.0
Mahihkan Battery 02-21,ABWI103020306604W400,1,2023-05-01,20,False,exponential,310.8554557777848,0.0302090618593387,0.0,0.5759123335831916,False,,4737.192702830824,1,1302684.0632217848,5538.654221851641,1.0
Mahihkan Battery 02-21,ABWI103020906604W400,1,2022-07-01,8,False,exponential,2693.5865078259817,0.2017276500431024,0.0,0.985457870322772,False,,11808.604113451656,1,3725695.0851053363,,0.0
Mahihkan Battery 02-21,ABWI103020906604W400,3,2023-09-01,15,False,harmonic,4766.324933485627,0.8122858337686559,1.0,0.9774419125306036,False,,17639.397922993714,2,5607163.243144982,,0.0
Mahihkan Battery 02-21,ABWI103022206604W400,1,2023-03-01,26,False,harmonic,831.4140893074575,0.3708504603941492,1.0,0.7750257637436524,False,,5703.494931741349,1,1624321.336940586,,0.0
Mahihkan Battery 02-21,ABWI103023506504W400,5,2025-07-01,7,False,exponential,98.04971890932931,0.4214429615021489,0.0,0.8928188524904762,False,,270.18954062675635,1,-109492.58290778783,-0.9880853024745961,
Mahihkan Battery 02-21,ABWI103031506504W400,1,2022-09-01,11,False,harmonic,143.73112298997287,0.1279289526318238,1.0,0.7080825234497893,False,,1030.2602353449656,1,137981.6011653765,5.996086149357501,5.0
Mahihkan Battery 02-21,ABWI103031506504W400,3,2024-05-01,7,False,harmonic,171.52522287438114,0.3285691822966513,1.0,0.7529669946274686,False,,687.260162767686,2,28853.503708414573,1.3553062984468416,5.0
Mahihkan Battery 02-21,ABWI103031506504W400,5,2025-04-01,10,False,harmonic,103.33666171071154,0.3706668656453472,1.0,0.5843976344037933,False,,475.5310215450789,3,-42748.303741553944,-0.5307090967704565,
Mahihkan Battery 02-21,ABWI103032206504W400,1,2023-08-01,9,False,exponential,147.7996828357365,0.1859505650780091,0.0,0.8012651942920977,False,,707.6365552375082,1,34641.59803574975,1.3005484200957351,6.0
Mahihkan Battery 02-21,ABWI103032306504W400,3,2024-01-01,6,False,harmonic,12.556815710650312,1.0112097158203486,1.0,0.7770029441911562,False,,30.630295283557334,1,-189733.24167487738,-0.9999945383257401,
Mahihkan Battery 02-21,ABWI103032706604W400,1,2022-05-01,11,False,harmonic,580.8170867893023,0.3044498834853874,1.0,0.9508035472201628,False,,3041.7383056677168,1,802329.6905026035,,1.0
Mahihkan Battery 02-21,ABWI103032706604W400,3,2024-07-01,14,False,harmonic,428.3170593281808,0.5824592832968778,1.0,0.7973868666063577,False,,1838.9495574243283,2,404792.65352733195,42068.89118956309,1.0
Mahihkan Battery 02-21,ABWI103032806504W400,2,2023-02-01,16,False,exponential,180.58233909145923,0.1329426221302045,0.0,0.8777896737520889,False,,1277.74532274202,1,216976.7464441962,15.027647090038151,3.0
Mahihkan Battery 02-21,ABWI103033506504W400,1,2022-07-01,14,False,exponential,296.99728825860376,0.1195698352282663,0.0,0.8349700521612211,False,,2141.2132782637527,1,499947.8451649733,1058.051044708439,2.0
Mahihkan Battery 02-21,ABWI103033506504W400,3,2024-08-01,23,False,harmonic,521.2571701429856,0.420485278686963,1.0,0.932275794839,False,,3188.95163703192,2,827478.0873063215,2764788958.0841937,1.0
Mahihkan Battery 02-21,ABWI103040306604W400,3,2024-04-01,27,False,exponential,986.5263159823984,0.0892152707982124,0.0,0.860959434683169,False,,10519.05941182973,1,3150172.4453784586,,0.0
Mahihkan Battery 02-21,ABWI103041006604W400,4,2024-10-01,12,False,exponential,364.2842066665696,0.1268767361889539,0.0,0.780849737854485,False,,2390.2053474607364,1,584978.9101865332,22237.80997031114,1.0
Mahihkan Battery 02-21,ABWI103042206504W400,3,2025-08-01,11,False,harmonic,230.46633597715032,0.1423346606721897,1.0,0.7872727955458583,False,,1598.2691557949852,1,324571.76708831696,91.74028001756791,2.0
Mahihkan Battery 02-21,ABWI103042306504W400,2,2023-07-01,10,False,harmonic,486.3647340086236,0.1802022576138739,1.0,0.8108799987724209,False,,2943.6297509950505,1,769916.3535307557,169304754.6067868,1.0
Mahihkan Battery 02-21,ABWI103042706504W400,1,2022-05-01,12,False,harmonic,520.8107010272358,0.2199071109820178,1.0,0.778740453631114,False,,3256.72916512442,1,868438.9253431831,14476993647.640163,1.0
Mahihkan Battery 02-21,ABWI103042706504W400,2,2023-05-01,6,False,exponential,237.7319855161376,0.4110940908999977,0.0,0.68203997897385,False,,645.4171034089096,2,16387.540045955127,1.2379563743579687,4.0
Mahihkan Battery 02-21,ABWI103042806504W400,3,2025-06-01,13,False,exponential,266.11275036249776,0.0415878617150847,0.0,0.5800251072526514,False,,2728.2607687257987,1,686345.4440731264,807.1115127086346,2.0
