Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence
Nabiye 11-23,ABWI102153506603W400,4,2024-05-01,6,False,exponential,1462.4464711241778,0.2497778413471265,0.0,0.5931082683363953,False,,4546.821672579672,2
Nabiye 11-23,ABWI102153606603W400,3,2024-05-01,16,False,exponential,745.6444904963594,0.1252112004260727,0.0,0.8151434551238597,False,,5151.878642022011,1
Nabiye 11-23,ABWI102153606603W400,4,2025-09-01,10,False,harmonic,388.662821537826,0.0748101961910751,1.0,0.6766201601437305,False,,2901.744579642523,2
Nabiye 11-23,ABWI102161106603W400,1,2023-01-01,9,False,exponential,706.4822540856998,0.5143832958497305,0.0,0.8802988182379345,False,,1360.049795167479,1
Nabiye 11-23,ABWI102161106603W400,2,2023-10-01,7,False,exponential,117.99697532750947,0.4774759011680504,0.0,0.8528080046380281,False,,238.38953573640777,2
Nabiye 11-23,ABWI102161106603W400,4,2024-10-01,7,False,harmonic,320.57020987719386,0.3687153997662661,1.0,0.7947124673587569,False,,1109.0764074711715,3
Nabiye 11-23,ABWI102161206603W400,2,2023-01-01,16,False,exponential,202.470190088552,0.3057994968359649,0.0,0.9351723029944538,False,,657.1350645060459,1
Nabiye 11-23,ABWI102161206603W400,4,2024-11-01,6,False,harmonic,60.37995153559591,1.6833648288763163,1.0,0.6890642421507905,False,,86.33437887790475,2
Nabiye 11-23,ABWI102161306603W400,1,2022-07-01,9,False,harmonic,835.1126879116135,0.1811997913129383,1.0,0.8155848741246909,False,,4458.028703821457,1
Nabiye 11-23,ABWI102161306603W400,2,2023-04-01,8,False,exponential,534.3614617801683,0.2984317364445069,0.0,0.8289070389153712,False,,1626.077946154717,2
Nabiye 11-23,ABWI102161306603W400,3,2023-12-01,9,False,exponential,491.54699424715767,0.0967809080359717,0.0,0.656198367812339,False,,2953.312306022537,3
Nabiye 11-23,ABWI102161306603W400,5,2025-03-01,16,False,harmonic,622.6524012694287,0.3289409653090327,1.0,0.5312566966535388,False,,3472.8436209456913,4
Nabiye 11-23,ABWI102161406603W400,2,2022-10-01,14,False,exponential,172.74143298240872,0.1562173915770282,0.0,0.7542849449238805,False,,981.6546670786478,1
Nabiye 11-23,ABWI102161406603W400,4,2024-12-01,15,False,exponential,281.22861330982266,0.1680008819931005,0.0,0.8587685291099789,False,,1539.2857821121352,2
Nabiye 11-23,ABWI102162306603W400,3,2024-03-01,11,False,exponential,797.6699545922619,0.166307817797445,0.0,0.763532116438068,False,,4026.4750618611297,1
Nabiye 11-23,ABWI102162406603W400,2,2023-05-01,6,False,exponential,259.7016919725977,0.2728636721341697,0.0,0.7129021918217544,False,,766.6194050588122,1
Nabiye 11-23,ABWI102162406603W400,4,2025-01-01,9,False,exponential,135.96326959839087,0.5331361798076659,0.0,0.8743810944977167,False,,252.9228819833703,2
Nabiye 11-23,ABWI103010106603W400,3,2023-04-01,9,False,exponential,1077.5371671635069,0.4532348703024304,0.0,0.7418806697095005,False,,2337.204531698589,1
Nabiye 11-23,ABWI103010106603W400,6,2025-01-01,13,False,exponential,1103.4846673441932,0.1205686026570861,0.0,0.777722469568766,False,,7243.265900142141,2
Nabiye 11-23,ABWI103011306603W400,5,2024-04-01,6,False,exponential,67.30405299109964,0.6852645128677539,0.0,0.7114186118934189,False,,96.60721262600585,1
Nabiye 11-23,ABWI103021306603W400,2,2023-03-01,8,False,harmonic,156.05764623131597,0.2743793819307857,1.0,0.5329374369189541,False,,660.677408755197,1
Nabiye 11-23,ABWI103021306603W400,4,2024-08-01,23,False,exponential,372.970317408571,0.1288094897375455,0.0,0.8998259922963909,False,,2745.868622942715,2
Nabiye 11-23,ABWI103022506603W400,3,2023-12-01,15,False,harmonic,410.302958471424,0.1870653376560619,1.0,0.6339217954525196,False,,2931.596419038116,1
Nabiye 11-23,ABWI103022506603W400,4,2025-03-01,12,False,exponential,417.2315828025558,0.3197255906805646,0.0,0.8330992281439664,False,,1276.826774313774,2
Nabiye 11-23,ABWI103031106603W400,2,2023-12-01,8,False,exponential,674.845523438898,0.233298370781527,0.0,0.5408285903678709,False,,2445.1923439608004,1
Nabiye 11-23,ABWI103031106603W400,4,2025-05-01,14,False,exponential,849.0291481553236,0.0809614163384686,0.0,0.8452376545687187,False,,7110.9399112164965,2
Nabiye 11-23,ABWI103032006603W400,1,2025-01-01,18,False,harmonic,4583.551920007989,0.0331930974219207,1.0,0.554468340030178,False,,64683.600951526154,1
Nabiye 11-23,ABWI103043106602W400,2,2026-01-01,6,False,harmonic,745.8702779575018,0.8770323456076716,1.0,0.923212720032727,False,,1560.1726280247617,1
Nabiye 11-23,ABWI103052506603W400,1,2022-08-01,11,False,exponential,409.78319163174166,0.1955569256863689,0.0,0.8740225795326325,False,,1851.6535096296875,1
Nabiye 11-23,ABWI103052506603W400,4,2024-06-01,6,False,harmonic,244.84926964183,0.3625952253413032,1.0,0.6367013602137578,False,,780.2647903586198,2
Nabiye 11-23,ABWI103052506603W400,5,2024-12-01,9,False,exponential,174.32767843277463,0.3129706027019331,0.0,0.7426697861674865,False,,523.7000979642874,3
Nabiye 11-23,ABWI103061206603W400,1,2022-11-01,11,False,exponential,624.8091776764152,0.3898932057156541,0.0,0.8843089110109428,False,,1580.5254885082402,1
Nabiye 11-23,ABWI103061206603W400,5,2025-03-01,11,False,harmonic,172.0934820684544,0.3011055121902395,1.0,0.8904459483971671,False,,835.2691362658195,2
Nabiye 11-23,ABWI103062406603W400,7,2025-12-01,7,False,exponential,259.27185275631257,0.3370525940219614,0.0,0.8718898868468644,False,,696.5556059164259,1
Nabiye 11-23,ABWI103063106602W402,1,2024-07-01,13,False,hyperbolic,2693.566349076157,0.9948716789055584,1.3594130723789033,0.9698438122728128,False,,8778.693420105286,1
Nabiye 11-23,ABWI103071306603W400,2,2023-05-01,6,False,exponential,524.1167340221895,0.3350789214125592,0.0,0.9313971825998698,False,,1354.6786874713714,1
Nabiye 11-23,ABWI103071306603W400,5,2024-08-01,7,False,exponential,310.5552818347296,1.1139211321120328,0.0,0.946608642363509,False,,278.6801528127994,2
Nabiye 11-23,ABWI103071306603W400,7,2025-11-01,6,False,harmonic,125.27153626615969,1.8104647639177875,1.0,0.7344257685004192,False,,171.1424807130063,3
Nabiye 11-23,ABWI103073506603W400,1,2022-10-01,9,False,exponential,1480.7729576709407,0.261154297172167,0.0,0.6324435736506444,False,,5129.564298792022,1
Nabiye 11-23,ABWI103073506603W400,3,2024-10-01,6,False,exponential,2466.3670012476537,0.4037158207712377,0.0,0.8689387043541481,False,,5567.174416057463,2
Nabiye 11-23,ABWI103081106603W400,2,2023-01-01,11,False,exponential,153.38767766356173,0.1650453731603597,0.0,0.7310768928196398,False,,778.106103758749,1
Nabiye 11-23,ABWI103081106603W400,5,2025-04-01,10,False,harmonic,93.6252085985048,0.2579602954851219,1.0,0.8219972950549818,False,,462.8453529485653,2
Nabiye 11-23,ABWI103081306603W400,2,2023-03-01,7,False,exponential,159.04313586009653,0.1640117057082634,0.0,0.5897228626614369,False,,662.0719330018568,1
Nabiye 11-23,ABWI103081306603W400,5,2024-10-01,7,False,harmonic,160.23444012380187,0.4794225949491082,1.0,0.821272067888151,False,,491.8252242057714,2
Nabiye 11-23,ABWI103081306603W400,6,2025-05-01,7,False,harmonic,83.99552055183571,0.478314502952213,1.0,0.5854608799539858,False,,258.10099853754133,3
Nabiye 11-23,ABWI103082506603W400,2,2023-04-01,6,False,exponential,289.6024669673507,0.2527659741311183,0.0,0.7534308062984356,False,,894.2935488743632,1
